Unnamed: 0,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Original Occupation,Best Match,Degree of Match,Score,index,OCC_CODE,OCC_TITLE
,      Telemarketers,False,,,,,,41-9041,Line item,97.7,77.6,-20.1,-20.6,0.9,9.8,34480,No formal educational credential,,Short-term on-the-job training,      Telemarketers,Telemarketers,Similar Match,95.0,687,41-9041,Telemarketers
,      Miscellaneous sales and related workers,False,,,,,,41-9090,Summary,173.2,173.5,0.3,0.2,23.3,22.8,44100,—,—,—,      Miscellaneous sales and related workers,Miscellaneous Sales and Related Workers,Similar Match,87.6923076923077,688,41-9090,Miscellaneous Sales and Related Workers
,"        Door-to-door sales workers, news and street vendors, and related workers",False,,,,,,41-9091,Line item,36.4,30.6,-5.8,-15.9,76.1,4,34910,No formal educational credential,,Short-term on-the-job training,"        Door-to-door sales workers, news and street vendors, and related workers",General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,      Travel agents,True,Non skilled worker,Not Trade,Very Certain,OUT,,41-3041,Line item,66.3,68.6,2.3,3.5,17.8,8.6,47410,High school diploma or equivalent,,Moderate-term on-the-job training,      Travel agents,Travel Agents,Similar Match,87.6923076923077,673,41-3041,Travel Agents
,  Office and administrative support occupations,False,,,,,,43-0000,Summary,19891.4,18663.8,-1227.6,-6.2,1.9,2059.8,44480,—,—,—,  Office and administrative support occupations,Office and Administrative Support Occupations,Similar Match,91.30434782608697,691,43-0000,Office and Administrative Support Occupations
,    Supervisors of office and administrative support workers,False,,,,,,43-1000,Summary,1567.2,1486.4,-80.7,-5.2,0.8,137.7,63450,—,—,—,    Supervisors of office and administrative support workers,Supervisors of Office and Administrative Support Workers,Similar Match,89.65517241379311,692,43-1000,Supervisors of Office and Administrative Support Workers
,"      Sales representatives of services, except advertising, insurance, financial services, and travel",True,Non skilled worker,Not Trade,Very Certain,OUT,,41-3091,Line item,1113.2,1158.9,45.7,4.1,1.3,110.6,64600,High school diploma or equivalent,,Moderate-term on-the-job training,"      Sales representatives of services, except advertising, insurance, financial services, and travel","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Similar Match,88.88888888888889,675,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
,    Communications equipment operators,False,,,,,,43-2000,Summary,54.3,41.1,-13.1,-24.2,0.9,3.6,37030,—,—,—,    Communications equipment operators,Communications Equipment Operators,Similar Match,89.41176470588236,694,43-2000,Communications Equipment Operators
,"      Switchboard operators, including answering service",False,,,,,,43-2011,Line item,48.4,36.2,-12.1,-25.1,—,2.9,36750,High school diploma or equivalent,,Short-term on-the-job training,"      Switchboard operators, including answering service","Switchboard Operators, Including Answering Service",Similar Match,87.39999999999999,695,43-2011,"Switchboard Operators, Including Answering Service"
,      Telephone operators,False,,,,,,43-2021,Line item,4.1,3,-1.1,-26.6,—,0.4,38080,High school diploma or equivalent,,Short-term on-the-job training,      Telephone operators,Telephone Operators,Similar Match,89.99999999999999,696,43-2021,Telephone Operators
,"      Communications equipment operators, all other",False,,,,,,43-2099,Line item,1.8,1.9,0.1,5.9,26.4,0.3,49310,High school diploma or equivalent,,Short-term on-the-job training,"      Communications equipment operators, all other","Communications Equipment Operators, All Other",Similar Match,86.55555555555556,698,43-2099,"Communications Equipment Operators, All Other"
,    Financial clerks,False,,,,,,43-3000,Summary,3052.5,2839,-213.5,-7,2.7,302.2,45790,—,—,—,    Financial clerks,Financial Clerks,Similar Match,89.0625,699,43-3000,Financial Clerks
,"      Sales representatives, wholesale and manufacturing, except technical and scientific products",True,Non skilled worker,Not Trade,Very Certain,OUT,,41-4012,Line item,1344.3,1353.4,9.1,0.7,2.7,119.5,65630,High school diploma or equivalent,,Moderate-term on-the-job training,"      Sales representatives, wholesale and manufacturing, except technical and scientific products","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Similar Match,89.47368421052632,678,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
,        Real estate sales agents,True,Non skilled worker,Not Trade,Very Certain,OUT,,41-9022,Line item,462.6,477.6,14.9,3.2,57.3,40.5,54300,High school diploma or equivalent,,Moderate-term on-the-job training,        Real estate sales agents,"Property, Real Estate, and Community Association Managers",Similar Match,85.5,43,11-9141,"Property, Real Estate, and Community Association Managers"
