Unnamed: 0,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Original Occupation,Best Match,Degree of Match,Score,index,OCC_CODE,OCC_TITLE
,      Sociologists,False,,,,,,19-3041,Line item,3.3,3.4,0.1,4.5,1.7,0.3,101770,Master's degree,,,      Sociologists,Sociologists,Similar Match,90.0,212,19-3041,Sociologists
,      Urban and regional planners,False,,,,,,19-3051,Line item,44.7,46.4,1.7,3.7,7.6,3.7,81800,Master's degree,,,      Urban and regional planners,Urban and Regional Planners,Similar Match,87.96296296296296,213,19-3051,Urban and Regional Planners
,      Miscellaneous social scientists and related workers,False,,,,,,19-3090,Summary,55.7,57.2,1.5,2.7,0.8,4.7,91210,—,—,—,      Miscellaneous social scientists and related workers,Miscellaneous Social Scientists and Related Workers,Similar Match,87.54901960784314,214,19-3090,Miscellaneous Social Scientists and Related Workers
,        Anthropologists and archeologists,False,,,,,,19-3091,Line item,8,8.3,0.3,4.2,1.8,0.7,63800,Master's degree,,,        Anthropologists and archeologists,Anthropologists and Archeologists,Similar Match,92.12121212121211,215,19-3091,Anthropologists and Archeologists
,        Geographers,False,,,,,,19-3092,Line item,1.5,1.5,0,1.1,—,0.1,90880,Bachelor's degree,,,        Geographers,Geographers,Similar Match,90.0,216,19-3092,Geographers
,        Historians,False,,,,,,19-3093,Line item,3.5,3.6,0.1,3.1,—,0.3,72890,Master's degree,,,        Historians,Historians,Similar Match,90.0,217,19-3093,Historians
,        Political scientists,False,,,,,,19-3094,Line item,6.2,6.6,0.4,6.6,—,0.6,132350,Master's degree,,,        Political scientists,Political Scientists,Similar Match,90.25,218,19-3094,Political Scientists
,"        Social scientists and related workers, all other",False,,,,,,19-3099,Line item,36.5,37.2,0.6,1.7,0.6,3,95890,Bachelor's degree,,,"        Social scientists and related workers, all other",General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,"    Life, physical, and social science technicians",False,,,,,,19-4000,Summary,397,414.1,17.1,4.3,1.8,49.9,53700,—,—,—,"    Life, physical, and social science technicians","Life, Physical, and Social Science Technicians",Similar Match,87.5,220,19-4000,"Life, Physical, and Social Science Technicians"
,      Agricultural and food science technicians,False,,,,,,19-4010,Summary,38.8,40.7,1.9,4.9,3.1,5.5,47010,—,—,—,      Agricultural and food science technicians,Agricultural and Food Science Technicians,Similar Match,88.04878048780488,221,19-4010,Agricultural and Food Science Technicians
,      Tutors,True,Profession,Not Trade,Very Certain,OUT,Could either be non skilled or a profession?,25-3041,Line item,223.7,231.1,7.4,3.3,14.9,39.1,39580,"Some college, no degree",,,      Tutors,Tutors,Similar Match,90.0,347,25-3041,Tutors
,      Library technicians,True,Profession,Not Trade,Very Certain,OUT,Could either be non skilled or a profession?,25-4031,Line item,78.6,73.8,-4.8,-6.1,—,12.2,39310,Postsecondary nondegree award,,,      Library technicians,Library Technicians,Similar Match,90.0,356,25-4031,Library Technicians
,      Biological technicians,False,,,,,,19-4021,Line item,81.4,85.3,3.9,4.7,—,10.6,51430,Bachelor's degree,,,      Biological technicians,Biological Technicians,Similar Match,90.68181818181817,224,19-4021,Biological Technicians
,"        Teaching assistants, except postsecondary",True,Profession,Not Trade,Very Certain,OUT,Could either be non skilled or a profession?,25-9045,Line item,1298.9,1299.8,0.9,0.1,0.3,151,35550,"Some college, no degree",,,"        Teaching assistants, except postsecondary","Teaching Assistants, Except Postsecondary",Similar Match,88.04878048780488,362,25-9045,"Teaching Assistants, Except Postsecondary"
,      Environmental science and geoscience technicians,False,,,,,,19-4040,Summary,47.5,49.9,2.3,4.9,—,5.1,51220,—,—,—,      Environmental science and geoscience technicians,Environmental Science and Geoscience Technicians,Similar Match,89.0625,226,19-4040,Environmental Science and Geoscience Technicians
,"        Plumbers, pipefitters, and steamfitters",True,Skilled Trade,Trade,Very Certain,IN,,47-2152,Line item,482.7,493.6,10.9,2.3,9.6,42.6,61550,High school diploma or equivalent,,Apprenticeship,"        Plumbers, pipefitters, and steamfitters","Plumbers, Pipefitters, and Steamfitters",Similar Match,90.12820512820512,814,47-2152,"Plumbers, Pipefitters, and Steamfitters"
,        Respiratory therapists,True,Skilled Trade,Trade,Somewhat Certain,OUT,"These folks are supervising ""respiratory therapy technicians."" The technicians would be skilled trades, not the therapists. ",29-1126,Line item,133.1,149.8,16.7,12.5,—,8.6,77960,Associate's degree,,,        Respiratory therapists,Respiratory Therapists,Similar Match,90.68181818181817,442,29-1126,Respiratory Therapists
,"        Welders, cutters, solderers, and brazers",True,Skilled Trade,Trade,Very Certain,IN,,51-4121,Line item,431.8,438,6.2,1.4,4,42.6,48940,High school diploma or equivalent,,Moderate-term on-the-job training,"        Welders, cutters, solderers, and brazers","Welders, Cutters, Solderers, and Brazers",Similar Match,87.875,972,51-4121,"Welders, Cutters, Solderers, and Brazers"
,        Industrial machinery mechanics,True,Skilled Trade,Trade,Very Certain,IN,,49-9041,Line item,402.2,462.1,59.9,14.9,1.9,39.2,61420,High school diploma or equivalent,,Long-term on-the-job training,        Industrial machinery mechanics,Industrial Machinery Mechanics,Similar Match,88.66666666666666,900,49-9041,Industrial Machinery Mechanics
,      Social science research assistants,False,,,,,,19-4061,Line item,34.4,36,1.6,4.8,3.2,4.4,56400,Bachelor's degree,,,      Social science research assistants,Social Science Research Assistants,Similar Match,86.61764705882352,231,19-4061,Social Science Research Assistants
,        Operating engineers and other construction equipment operators,True,Skilled Trade,Trade,Very Certain,IN,,47-2073,Line item,437.6,449.2,11.6,2.7,2.1,38.2,56160,High school diploma or equivalent,,Moderate-term on-the-job training,        Operating engineers and other construction equipment operators,Operating Engineers and Other Construction Equipment Operators,Similar Match,87.33870967741936,800,47-2073,Operating Engineers and Other Construction Equipment Operators
,"      Miscellaneous life, physical, and social science technicians",False,,,,,,19-4090,Summary,98.6,103.9,5.4,5.5,3.8,12.8,59800,—,—,—,"      Miscellaneous life, physical, and social science technicians","Miscellaneous Life, Physical, and Social Science Technicians",Similar Match,87.3015873015873,233,19-4090,"Miscellaneous Life, Physical, and Social Science Technicians"
,        Forensic science technicians,False,,,,,,19-4092,Line item,18.5,20.8,2.3,12.6,0.8,2.6,64940,Bachelor's degree,,Moderate-term on-the-job training,        Forensic science technicians,Forensic Science Technicians,Similar Match,88.21428571428571,234,19-4092,Forensic Science Technicians
,"      Heating, air conditioning, and refrigeration mechanics and installers",True,Skilled Trade,Trade,Very Certain,IN,,49-9021,Line item,415.8,438.8,23,5.5,7.8,37.7,57300,Postsecondary nondegree award,,Long-term on-the-job training,"      Heating, air conditioning, and refrigeration mechanics and installers","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Similar Match,88.88888888888889,897,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
,    Occupational health and safety specialists and technicians,False,,,,,,19-5000,Summary,138.4,156.1,17.7,12.8,0.8,17.2,77580,—,—,—,    Occupational health and safety specialists and technicians,Occupational Health and Safety Specialists and Technicians,Similar Match,90.0,236,19-5010,Occupational Health and Safety Specialists and Technicians
,      Occupational health and safety specialists,False,,,,,,19-5011,Line item,113.8,128.9,15.2,13.3,0.8,14.2,81140,Bachelor's degree,,,      Occupational health and safety specialists,Occupational Health and Safety Specialists,Similar Match,88.21428571428571,237,19-5011,Occupational Health and Safety Specialists
,      Bakers,False,Non skilled worker,Not Trade,Somewhat Certain,IN,similar to cook but perhaps less skilled? I'd say in,51-3011,Line item,218.8,229.6,10.8,4.9,4,33.8,34950,No formal educational credential,,Moderate-term on-the-job training,      Bakers,Bakers,Similar Match,90.0,938,51-3011,Bakers
,  Community and social service occupations,False,,,,,,21-0000,Summary,2936.5,3164.2,227.7,7.8,4.1,281.6,52000,—,—,—,  Community and social service occupations,Community and Social Service Occupations,Similar Match,90.2439024390244,239,21-0000,Community and Social Service Occupations
,"    Counselors, social workers, and other community and social service specialists",False,,,,,,21-1000,Summary,2422.9,2649.1,226.2,9.3,3.9,233.4,51970,—,—,—,"    Counselors, social workers, and other community and social service specialists","Counselors, Social Workers, and Other Community and Social Service Specialists",Similar Match,88.75,240,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists"
,      Counselors,False,,,,,,21-1010,Summary,954.8,1068.7,113.9,11.9,7.8,89.2,56470,—,—,—,      Counselors,Credit Counselors,Similar Match,95.0,87,13-2071,Credit Counselors
,"        Educational, guidance, and career counselors and advisors",False,,,,,,21-1012,Line item,342.4,360.8,18.4,5.4,1.2,26.6,61710,Master's degree,,,"        Educational, guidance, and career counselors and advisors","Educational, Guidance, and Career Counselors and Advisors",Similar Match,87.83018867924528,242,21-1012,"Educational, Guidance, and Career Counselors and Advisors"
,        Marriage and family therapists,False,,,,,,21-1013,Line item,71.2,81.8,10.6,14.9,10.7,5.9,58510,Master's degree,,Internship/residency,        Marriage and family therapists,Marriage and Family Therapists,Similar Match,88.66666666666666,243,21-1013,Marriage and Family Therapists
,        Rehabilitation counselors,False,,,,,,21-1015,Line item,84.8,86.4,1.6,1.9,0.8,6.7,44040,Master's degree,,,        Rehabilitation counselors,Rehabilitation Counselors,Similar Match,91.19999999999999,244,21-1015,Rehabilitation Counselors
,"        Substance abuse, behavioral disorder, and mental health counselors",False,,,,,,21-1018,Line item,388.2,459.6,71.5,18.4,8.4,42,53710,Bachelor's degree,,,"        Substance abuse, behavioral disorder, and mental health counselors","Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Similar Match,86.36363636363636,245,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors"
,"        Counselors, all other",False,,,,,,21-1019,Line item,68.2,80,11.7,17.2,43.5,8,46130,Master's degree,,,"        Counselors, all other",Counselors,Similar Match,90.0,241,21-1010,Counselors
,      Social workers,False,,,,,,21-1020,Summary,728.6,782.5,53.8,7.4,2.2,63.8,58380,—,—,—,      Social workers,Social Workers,Similar Match,88.21428571428571,247,21-1020,Social Workers
,"        Child, family, and school social workers",False,,,,,,21-1021,Line item,355.3,374.3,18.9,5.3,—,29.5,53940,Bachelor's degree,,,"        Child, family, and school social workers",General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,        Healthcare social workers,False,,,,,,21-1022,Line item,191.4,209.8,18.4,9.6,1.4,18.7,62940,Master's degree,,Internship/residency,        Healthcare social workers,Healthcare Social Workers,Similar Match,87.39999999999999,249,21-1022,Healthcare Social Workers
,        Mental health and substance abuse social workers,False,,,,,,21-1023,Line item,113.5,125.5,12,10.6,2.8,9.5,55960,Master's degree,,Internship/residency,        Mental health and substance abuse social workers,General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,"        Social workers, all other",False,,,,,,21-1029,Line item,68.4,72.9,4.5,6.6,15.1,6,63770,Bachelor's degree,,,"        Social workers, all other",Miscellaneous Social Scientists and Related Workers,Similar Match,85.5,214,19-3090,Miscellaneous Social Scientists and Related Workers
,      Miscellaneous community and social service specialists,False,,,,,,21-1090,Summary,739.5,797.9,58.4,7.9,0.5,80.5,46250,—,—,—,      Miscellaneous community and social service specialists,Miscellaneous Community and Social Service Specialists,Similar Match,87.96296296296296,252,21-1090,Miscellaneous Community and Social Service Specialists
,        Health education specialists,False,,,,,,21-1091,Line item,60.4,64.8,4.4,7.2,1.5,6.6,62860,Bachelor's degree,,,        Health education specialists,Health Education Specialists,Similar Match,88.21428571428571,253,21-1091,Health Education Specialists
,        Probation officers and correctional treatment specialists,False,,,,,,21-1092,Line item,93.9,96.2,2.4,2.5,—,7.4,61800,Bachelor's degree,,Moderate-term on-the-job training,        Probation officers and correctional treatment specialists,Probation Officers and Correctional Treatment Specialists,Similar Match,88.33333333333333,254,21-1092,Probation Officers and Correctional Treatment Specialists
,        Social and human service assistants,False,,,,,,21-1093,Line item,415.1,450.6,35.6,8.6,0.1,47.4,41410,High school diploma or equivalent,,Short-term on-the-job training,        Social and human service assistants,Social and Human Service Assistants,Similar Match,86.85714285714286,255,21-1093,Social and Human Service Assistants
,        Community health workers,False,,,,,,21-1094,Line item,67.2,76.6,9.4,14.1,1.7,8,48200,High school diploma or equivalent,,Short-term on-the-job training,        Community health workers,Community Health Workers,Similar Match,87.08333333333333,256,21-1094,Community Health Workers
,"        Community and social service specialists, all other",False,,,,,,21-1099,Line item,103,109.7,6.7,6.5,1.3,11.1,49690,Bachelor's degree,,,"        Community and social service specialists, all other","Community and Social Service Specialists, All Other",Similar Match,85.68627450980391,257,21-1099,"Community and Social Service Specialists, All Other"
,    Religious workers,False,,,,,,21-2000,Summary,513.5,515.1,1.5,0.3,4.8,48.2,54180,—,—,—,    Religious workers,Religious Workers,Similar Match,89.41176470588236,258,21-2000,Religious Workers
,      Clergy,False,,,,,,21-2011,Line item,266.7,268.2,1.5,0.6,8,21.9,58920,Bachelor's degree,,Moderate-term on-the-job training,      Clergy,Clergy,Similar Match,90.0,259,21-2011,Clergy
,"      Directors, religious activities and education",False,,,,,,21-2021,Line item,171,170.6,-0.4,-0.2,0.8,16.3,50140,Bachelor's degree,Less than 5 years,,"      Directors, religious activities and education","Directors, Religious Activities and Education",Similar Match,88.66666666666666,260,21-2021,"Directors, Religious Activities and Education"
,"      Religious workers, all other",False,,,,,,21-2099,Line item,75.8,76.2,0.4,0.6,2.5,10,37960,Bachelor's degree,,,"      Religious workers, all other",Religious Workers,Similar Match,85.5,258,21-2000,Religious Workers
,  Legal occupations,False,,,,,,23-0000,Summary,1362.4,1442.3,80,5.9,8.7,91.7,99220,—,—,—,  Legal occupations,Legal Occupations,Similar Match,89.41176470588236,263,23-0000,Legal Occupations
,"    Lawyers, judges, and related workers",False,,,,,,23-1000,Summary,894.5,958.5,64,7.2,12,42.2,140320,—,—,—,"    Lawyers, judges, and related workers",Lawyers,Similar Match,90.0,266,23-1011,Lawyers
,      Lawyers and judicial law clerks,False,,,,,,23-1010,Summary,842.6,905.3,62.7,7.4,12.6,40.1,142440,—,—,—,      Lawyers and judicial law clerks,Lawyers,Similar Match,90.0,266,23-1011,Lawyers
,        Lawyers,False,,,,,,23-1011,Line item,826.3,888.7,62.4,7.5,12.8,39.1,145760,Doctoral or professional degree,,,        Lawyers,Lawyers,Similar Match,90.0,266,23-1011,Lawyers
,        Judicial law clerks,False,,,,,,23-1012,Line item,16.3,16.6,0.4,2.3,—,1,57490,Doctoral or professional degree,,,        Judicial law clerks,"Judges, Magistrates, and Other Judicial Workers",Similar Match,85.5,268,23-1020,"Judges, Magistrates, and Other Judicial Workers"
,"      Judges, magistrates, and other judicial workers",False,,,,,,23-1020,Summary,51.9,53.2,1.3,2.4,1.9,2.1,120140,—,—,—,"      Judges, magistrates, and other judicial workers","Judges, Magistrates, and Other Judicial Workers",Similar Match,86.91489361702128,268,23-1020,"Judges, Magistrates, and Other Judicial Workers"
,"        Administrative law judges, adjudicators, and hearing officers",False,,,,,,23-1021,Line item,13.2,13.4,0.1,1.1,—,0.5,111090,Doctoral or professional degree,5 years or more,Short-term on-the-job training,"        Administrative law judges, adjudicators, and hearing officers","Administrative Law Judges, Adjudicators, and Hearing Officers",Similar Match,87.21311475409836,269,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
,"        Arbitrators, mediators, and conciliators",False,,,,,,23-1022,Line item,9.1,9.6,0.5,5,10.5,0.4,71540,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,"        Arbitrators, mediators, and conciliators","Arbitrators, Mediators, and Conciliators",Similar Match,90.25,270,23-1022,"Arbitrators, Mediators, and Conciliators"
,"        Judges, magistrate judges, and magistrates",False,,,,,,23-1023,Line item,29.6,30.2,0.7,2.2,—,1.2,148910,Doctoral or professional degree,5 years or more,Short-term on-the-job training,"        Judges, magistrate judges, and magistrates",General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,    Legal support workers,False,,,,,,23-2000,Summary,467.9,483.8,16,3.4,2.5,49.4,60690,—,—,—,    Legal support workers,Legal Support Workers,Similar Match,85.95238095238095,272,23-2000,Legal Support Workers
,      Machinists,True,Skilled Trade,Trade,Very Certain,IN,,51-4041,Line item,327,333.3,6.3,1.9,1.4,32.6,50840,High school diploma or equivalent,,Long-term on-the-job training,      Machinists,Machinists,Similar Match,90.0,959,51-4041,Machinists
,      Miscellaneous legal support workers,False,,,,,,23-2090,Summary,113.6,114.7,1.1,1,6,11.4,59380,—,—,—,      Miscellaneous legal support workers,Miscellaneous Legal Support Workers,Similar Match,86.85714285714286,274,23-2090,Miscellaneous Legal Support Workers
,"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",True,Skilled Trade,Trade,Very Certain,IN,,51-2028,Line item,282.9,295.6,12.7,4.5,0.8,31.8,40490,High school diploma or equivalent,,Moderate-term on-the-job training,"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers","Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",Similar Match,88.46153846153845,931,51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers"
,      Bus and truck mechanics and diesel engine specialists,True,Skilled Trade,Trade,Very Certain,IN,,49-3031,Line item,291.6,294.1,2.5,0.9,4.6,24.3,58970,High school diploma or equivalent,,Long-term on-the-job training,      Bus and truck mechanics and diesel engine specialists,Bus and Truck Mechanics and Diesel Engine Specialists,Similar Match,85.71428571428572,880,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists
,  Educational instruction and library occupations,False,,,,,,25-0000,Summary,9354.1,9570.6,216.5,2.3,1.9,857.6,59940,—,—,—,  Educational instruction and library occupations,Educational Instruction and Library Occupations,Similar Match,91.66666666666666,277,25-0000,Educational Instruction and Library Occupations
,    Postsecondary teachers,False,,,,,,25-1000,Summary,1709.8,1826.8,117,6.8,0.2,149.2,82270,—,—,—,    Postsecondary teachers,Postsecondary Teachers,Similar Match,90.68181818181817,278,25-1000,Postsecondary Teachers
,"      Business teachers, postsecondary",False,,,,,,25-1011,Line item,99.9,106.9,6.9,6.9,0.2,8.7,97130,Doctoral or professional degree,,,"      Business teachers, postsecondary","Business Teachers, Postsecondary",Similar Match,89.0625,279,25-1011,"Business Teachers, Postsecondary"
,"      Math and computer science teachers, postsecondary",False,,,,,,25-1020,Summary,98,102,4,4.1,0.1,8.2,83300,—,—,—,"      Math and computer science teachers, postsecondary","Math and Computer Science Teachers, Postsecondary",Similar Match,87.24489795918366,280,25-1020,"Math and Computer Science Teachers, Postsecondary"
,"        Computer science teachers, postsecondary",False,,,,,,25-1021,Line item,42,44.3,2.2,5.3,0.2,3.6,96430,Doctoral or professional degree,,,"        Computer science teachers, postsecondary","Computer Science Teachers, Postsecondary",Similar Match,87.875,281,25-1021,"Computer Science Teachers, Postsecondary"
,"        Mathematical science teachers, postsecondary",False,,,,,,25-1022,Line item,55.9,57.7,1.8,3.2,0.1,4.6,81020,Doctoral or professional degree,,,"        Mathematical science teachers, postsecondary","Mathematical Science Teachers, Postsecondary",Similar Match,88.52272727272728,282,25-1022,"Mathematical Science Teachers, Postsecondary"
,"      Engineering and architecture teachers, postsecondary",False,,,,,,25-1030,Summary,53.7,58.2,4.5,8.4,0.2,4.8,106860,—,—,—,"      Engineering and architecture teachers, postsecondary","Engineering and Architecture Teachers, Postsecondary",Similar Match,89.51923076923076,283,25-1030,"Engineering and Architecture Teachers, Postsecondary"
,"        Architecture teachers, postsecondary",False,,,,,,25-1031,Line item,8.2,8.5,0.3,3.8,—,0.7,105770,Doctoral or professional degree,,,"        Architecture teachers, postsecondary","Architecture Teachers, Postsecondary",Similar Match,89.72222222222221,284,25-1031,"Architecture Teachers, Postsecondary"
,"        Engineering teachers, postsecondary",False,,,,,,25-1032,Line item,45.5,49.7,4.2,9.3,0.1,4.1,106910,Doctoral or professional degree,,,"        Engineering teachers, postsecondary","Engineering Teachers, Postsecondary",Similar Match,89.57142857142857,285,25-1032,"Engineering Teachers, Postsecondary"
,"      Life sciences teachers, postsecondary",False,,,,,,25-1040,Summary,74,79.9,5.9,8,0.2,6.6,84260,—,—,—,"      Life sciences teachers, postsecondary","Life Sciences Teachers, Postsecondary",Similar Match,87.29729729729729,286,25-1040,"Life Sciences Teachers, Postsecondary"
,"        Agricultural sciences teachers, postsecondary",False,,,,,,25-1041,Line item,10.1,10.5,0.5,4.8,—,0.8,85260,Doctoral or professional degree,,,"        Agricultural sciences teachers, postsecondary","Agricultural Sciences Teachers, Postsecondary",Similar Match,88.66666666666666,287,25-1041,"Agricultural Sciences Teachers, Postsecondary"
,"        Biological science teachers, postsecondary",False,,,,,,25-1042,Line item,62.4,67.7,5.3,8.6,0.2,5.6,83920,Doctoral or professional degree,,,"        Biological science teachers, postsecondary","Biological Science Teachers, Postsecondary",Similar Match,88.21428571428571,288,25-1042,"Biological Science Teachers, Postsecondary"
,"        Forestry and conservation science teachers, postsecondary",False,,,,,,25-1043,Line item,1.5,1.6,0.1,5.2,—,0.1,101650,Doctoral or professional degree,,,"        Forestry and conservation science teachers, postsecondary","Forestry and Conservation Science Teachers, Postsecondary",Similar Match,88.33333333333333,289,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
,"      Physical sciences teachers, postsecondary",False,,,,,,25-1050,Summary,63.5,65.9,2.4,3.7,0.2,5.3,94060,—,—,—,"      Physical sciences teachers, postsecondary","Physical Sciences Teachers, Postsecondary",Similar Match,88.04878048780488,290,25-1050,"Physical Sciences Teachers, Postsecondary"
,"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",False,,,,,,25-1051,Line item,13.6,14.1,0.5,3.6,—,1.1,100690,Doctoral or professional degree,,,"        Atmospheric, earth, marine, and space sciences teachers, postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Similar Match,86.85714285714286,291,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
,"        Chemistry teachers, postsecondary",False,,,,,,25-1052,Line item,25.9,26.8,0.9,3.5,—,2.1,85810,Doctoral or professional degree,,,"        Chemistry teachers, postsecondary","Chemistry Teachers, Postsecondary",Similar Match,89.24242424242424,292,25-1052,"Chemistry Teachers, Postsecondary"
,"        Environmental science teachers, postsecondary",False,,,,,,25-1053,Line item,7.9,8.2,0.3,4.2,—,0.7,88410,Doctoral or professional degree,,,"        Environmental science teachers, postsecondary","Environmental Science Teachers, Postsecondary",Similar Match,88.66666666666666,293,25-1053,"Environmental Science Teachers, Postsecondary"
,"        Physics teachers, postsecondary",False,,,,,,25-1054,Line item,16.2,16.8,0.6,3.8,—,1.3,98020,Doctoral or professional degree,,,"        Physics teachers, postsecondary","Physics Teachers, Postsecondary",Similar Match,88.87096774193549,294,25-1054,"Physics Teachers, Postsecondary"
,"      Social sciences teachers, postsecondary",False,,,,,,25-1060,Summary,141.4,147.3,5.9,4.2,0.2,11.8,84600,—,—,—,"      Social sciences teachers, postsecondary","Social Sciences Teachers, Postsecondary",Similar Match,87.6923076923077,295,25-1060,"Social Sciences Teachers, Postsecondary"
,"        Anthropology and archeology teachers, postsecondary",False,,,,,,25-1061,Line item,6.2,6.4,0.2,4,—,0.5,93650,Doctoral or professional degree,,,"        Anthropology and archeology teachers, postsecondary","Anthropology and Archeology Teachers, Postsecondary",Similar Match,89.41176470588236,296,25-1061,"Anthropology and Archeology Teachers, Postsecondary"
,"        Area, ethnic, and cultural studies teachers, postsecondary",False,,,,,,25-1062,Line item,11.9,12.4,0.5,3.9,—,1,86030,Doctoral or professional degree,,,"        Area, ethnic, and cultural studies teachers, postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Similar Match,86.8103448275862,297,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
,"        Economics teachers, postsecondary",False,,,,,,25-1063,Line item,14.8,15.4,0.6,3.8,—,1.2,115300,Doctoral or professional degree,,,"        Economics teachers, postsecondary","Economics Teachers, Postsecondary",Similar Match,89.24242424242424,298,25-1063,"Economics Teachers, Postsecondary"
,"        Geography teachers, postsecondary",False,,,,,,25-1064,Line item,4.1,4.3,0.2,4.4,—,0.3,85600,Doctoral or professional degree,,,"        Geography teachers, postsecondary","Geography Teachers, Postsecondary",Similar Match,89.24242424242424,299,25-1064,"Geography Teachers, Postsecondary"
,"        Political science teachers, postsecondary",False,,,,,,25-1065,Line item,19.3,20,0.7,3.7,—,1.6,93810,Doctoral or professional degree,,,"        Political science teachers, postsecondary","Political Science Teachers, Postsecondary",Similar Match,88.04878048780488,300,25-1065,"Political Science Teachers, Postsecondary"
,"        Psychology teachers, postsecondary",False,,,,,,25-1066,Line item,50.9,53.6,2.7,5.2,0.2,4.3,82140,Doctoral or professional degree,,,"        Psychology teachers, postsecondary","Psychology Teachers, Postsecondary",Similar Match,89.41176470588236,301,25-1066,"Psychology Teachers, Postsecondary"
,"        Sociology teachers, postsecondary",False,,,,,,25-1067,Line item,15,15.5,0.6,3.7,—,1.2,82670,Doctoral or professional degree,,,"        Sociology teachers, postsecondary","Sociology Teachers, Postsecondary",Similar Match,89.24242424242424,302,25-1067,"Sociology Teachers, Postsecondary"
,"        Social sciences teachers, postsecondary, all other",False,,,,,,25-1069,Line item,19.2,19.7,0.5,2.6,—,1.6,77750,Doctoral or professional degree,,,"        Social sciences teachers, postsecondary, all other",Social and Community Service Managers,Similar Match,85.5,44,11-9151,Social and Community Service Managers
,"      Health teachers, postsecondary",False,,,,,,25-1070,Summary,348.7,414.5,65.8,18.9,0.2,36.3,100950,—,—,—,"      Health teachers, postsecondary","Health Teachers, Postsecondary",Similar Match,88.66666666666666,304,25-1070,"Health Teachers, Postsecondary"
,"        Health specialties teachers, postsecondary",False,,,,,,25-1071,Line item,262.8,313,50.2,19.1,0.2,27.4,105650,Doctoral or professional degree,Less than 5 years,,"        Health specialties teachers, postsecondary","Health Specialties Teachers, Postsecondary",Similar Match,88.21428571428571,305,25-1071,"Health Specialties Teachers, Postsecondary"
,"        Nursing instructors and teachers, postsecondary",False,,,,,,25-1072,Line item,85.9,101.5,15.6,18.2,0.2,8.8,80780,Doctoral or professional degree,Less than 5 years,,"        Nursing instructors and teachers, postsecondary","Nursing Instructors and Teachers, Postsecondary",Similar Match,88.93617021276596,306,25-1072,"Nursing Instructors and Teachers, Postsecondary"
,"      Education and library science teachers, postsecondary",False,,,,,,25-1080,Summary,79.7,82.7,3,3.8,0.2,6.6,74550,—,—,—,"      Education and library science teachers, postsecondary","Education and Library Science Teachers, Postsecondary",Similar Match,87.83018867924528,307,25-1080,"Education and Library Science Teachers, Postsecondary"
,"        Education teachers, postsecondary",False,,,,,,25-1081,Line item,74.3,77.1,2.8,3.7,0.2,6.2,73240,Doctoral or professional degree,Less than 5 years,,"        Education teachers, postsecondary","Education Teachers, Postsecondary",Similar Match,89.24242424242424,308,25-1081,"Education Teachers, Postsecondary"
,"        Library science teachers, postsecondary",False,,,,,,25-1082,Line item,5.4,5.6,0.2,4.1,—,0.4,80310,Doctoral or professional degree,,,"        Library science teachers, postsecondary","Library Science Teachers, Postsecondary",Similar Match,87.6923076923077,309,25-1082,"Library Science Teachers, Postsecondary"
,"      Law, criminal justice, and social work teachers, postsecondary",False,,,,,,25-1110,Summary,51.7,53.4,1.7,3.2,0.2,4.3,81770,—,—,—,"      Law, criminal justice, and social work teachers, postsecondary","Law, Criminal Justice, and Social Work Teachers, Postsecondary",Similar Match,86.15384615384616,310,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary"
