,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1020,"        Rotary drill operators, oil and gas",True,Skilled Trade,Trade,Very Certain,IN,,47-5012,Line item,13.2,13.2,0,0.1,2.2,1.3,61770,No formal educational credential,,Moderate-term on-the-job training
1021,"        Drafters, all other",True,Skilled Trade,Trade,Somewhat Certain,IN,some may require bachelor degree,17-3019,Line item,18.7,17.3,-1.5,-7.8,2.9,1.3,59260,Associate's degree,,
1022,        Surgical assistants,True,Skilled Trade,Trade,Somewhat Certain,IN,,29-9093,Line item,19.7,20.7,1,5.2,4.2,1.3,59160,Postsecondary nondegree award,,
1024,        Environmental engineering technologists and technicians,True,Skilled Trade,Trade,Somewhat Certain,IN,some may require bachelor degree,17-3025,Line item,13.9,14.1,0.2,1.3,1.5,1.3,54000,Associate's degree,,
1025,"        Electric motor, power tool, and related repairers",True,Skilled Trade,Trade,Very Certain,IN,,49-2092,Line item,16.1,16.5,0.4,2.5,2.8,1.3,49230,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
1026,"        Heat treating equipment setters, operators, and tenders, metal and plastic",True,Skilled Trade,Trade,Somewhat Certain,IN,,51-4191,Line item,16,14.6,-1.5,-9.1,0.7,1.3,44240,High school diploma or equivalent,,Moderate-term on-the-job training
1027,      Rail-track laying and maintenance equipment operators,True,Skilled Trade,Trade,Somewhat Certain,IN,level of skill needed uncertain,47-4061,Line item,16.5,16.7,0.2,1.4,—,1.2,67000,High school diploma or equivalent,,Moderate-term on-the-job training
1029,"      Railroad brake, signal, and switch operators and locomotive firers",False,Non skilled worker,Not Trade,Somewhat Certain,IN,,53-4022,Line item,12.2,12.3,0.1,1.2,—,1.2,63540,High school diploma or equivalent,,Moderate-term on-the-job training
1030,"        Pump operators, except wellhead pumpers",False,Skilled Trade,Trade,Very Certain,IN,,53-7072,Line item,11.2,11.6,0.4,3.6,—,1.2,54690,High school diploma or equivalent,,Moderate-term on-the-job training
1031,        Gas plant operators,True,Skilled Trade,Trade,Very Certain,IN,,51-8092,Line item,14.8,13,-1.7,-11.7,—,1.1,82560,High school diploma or equivalent,,Long-term on-the-job training
1034,      Boilermakers,True,Skilled Trade,Trade,Very Certain,IN,,47-2011,Line item,13.7,13.1,-0.5,-4,—,1.1,71140,High school diploma or equivalent,,Apprenticeship
1035,        Calibration technologists and technicians,True,Skilled Trade,Trade,Somewhat Certain,IN,If they really require Associates it's a lot of knowledge. Definetly the upper bound. ,17-3028,Line item,11.3,11.8,0.5,4.4,1.7,1.1,62790,Associate's degree,,
1037,"        Precision instrument and equipment repairers, all other",True,Skilled Trade,Trade,Very Certain,IN,,49-9069,Line item,12.1,12.1,0,0,8,1.1,62040,High school diploma or equivalent,,Long-term on-the-job training
1038,"        Geological technicians, except hydrologic technicians",True,Skilled Trade,Trade,Very Certain,IN,,19-4043,Line item,9.4,9.6,0.3,3.1,—,1,52440,Associate's degree,,Moderate-term on-the-job training
1039,        Stonemasons,True,Skilled Trade,Trade,Very Certain,IN,,47-2022,Line item,13.5,12.7,-0.8,-5.9,24.2,1,51830,High school diploma or equivalent,,Apprenticeship
1040,        Shoe and leather workers and repairers,False,Skilled Trade,Trade,Somewhat Certain,IN,,51-6041,Line item,9.8,8.7,-1.1,-11,8,1,36020,High school diploma or equivalent,,Moderate-term on-the-job training
1041,        Nuclear medicine technologists,True,Skilled Trade,Trade,Somewhat Certain,IN,,29-2033,Line item,18.1,18.2,0.1,0.4,5,0.8,92500,Associate's degree,,
1042,      Traffic technicians,False,Skilled Trade,Trade,Very Certain,IN,,53-6041,Line item,7.6,7.9,0.3,3.5,—,0.8,52240,High school diploma or equivalent,,Moderate-term on-the-job training
1043,"        Makeup artists, theatrical and performance",True,Skilled Trade,Trade,Somewhat Certain,IN,Might need significant amount of training on the upper end,39-5091,Line item,4.6,4.9,0.4,8.6,32.9,0.8,47390,Postsecondary nondegree award,,
1045,        Power distributors and dispatchers,True,Skilled Trade,Trade,Very Certain,IN,,51-8012,Line item,9.6,9.1,-0.5,-5,—,0.7,104750,High school diploma or equivalent,,Long-term on-the-job training
1048,        Radiation therapists,True,Skilled Trade,Trade,Somewhat Certain,IN,"These are all health professions, involving some degree of technical skills",29-1124,Line item,15.9,16.3,0.4,2.4,—,0.7,98300,Associate's degree,,
1049,"        Electrical and electronics installers and repairers, transportation equipment",True,Skilled Trade,Trade,Very Certain,IN,,49-2093,Line item,7.9,8.3,0.4,4.8,—,0.7,79160,Postsecondary nondegree award,,Long-term on-the-job training
1053,      Nuclear technicians,True,Skilled Trade,Trade,Very Certain,IN,,19-4051,Line item,5.9,5.8,-0.1,-1.3,—,0.6,101740,Associate's degree,,Moderate-term on-the-job training
1055,        Signal and track switch repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-9097,Line item,6.6,6.7,0.1,1.2,9.3,0.6,82710,High school diploma or equivalent,,Moderate-term on-the-job training
1056,        Embalmers,False,,Not Trade,Highly Uncertain,IN,Not sue about manual/mechanical/technical skills nor certification,39-4011,Line item,4,4,0,0.9,—,0.6,54090,Associate's degree,,Long-term on-the-job training
1057,"        Electronic equipment installers and repairers, motor vehicles",True,Skilled Trade,Trade,Very Certain,IN,,49-2096,Line item,9.7,7.9,-1.7,-18,0.6,0.6,45570,High school diploma or equivalent,,Moderate-term on-the-job training
1059,        Floor sanders and finishers,False,Skilled Trade,Trade,Somewhat Certain,IN,level of skill needed uncertain,47-2043,Line item,6.2,6.2,0,0.1,30,0.5,47760,No formal educational credential,,Moderate-term on-the-job training
1066,        Musical instrument repairers and tuners,True,Skilled Trade,Trade,Very Certain,IN,,49-9063,Line item,7,6.3,-0.7,-9.4,9.9,0.5,42800,High school diploma or equivalent,,Apprenticeship
